17:14:28.692751 config: drop-rate=0.20, max-delay=10ms, seed=1
18:04:07.760827 [queue=0] packet #2, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=32 is delivered
18:04:07.761349 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:57896, sz=0 is dropped
18:04:10.762147 [queue=1] packet #2, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=32 is delayed for 700µs
18:04:10.778539 [queue=0] packet #2, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=32 is delivered
18:04:10.779046 [queue=1] packet #2, 127.0.0.1:8080 -> 127.0.0.1:57896, sz=0 is delayed for 5.2ms
18:04:10.794702 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:57896, sz=0 is delivered
18:04:10.795211 [queue=1] packet #3, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=8 is delayed for 8.1ms
18:04:10.810545 [queue=0] packet #3, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=8 is delivered
18:04:10.811054 [queue=1] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57896, sz=5 is delayed for 9.5ms
18:04:10.826786 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:57896, sz=5 is delivered
18:04:10.826786 [queue=1] packet #4, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=2 is delayed for 9.3ms
18:04:10.842639 [queue=0] packet #4, 127.0.0.1:57896 -> 127.0.0.1:8080, sz=2 is delivered
18:05:50.747278 [queue=1] packet #1, 127.0.0.1:56729 -> 127.0.0.1:8080, sz=14 is delayed for 9.6ms
18:05:50.762994 [queue=0] packet #1, 127.0.0.1:56729 -> 127.0.0.1:8080, sz=14 is delivered
18:05:50.764033 [queue=1] packet #1, 127.0.0.1:8080 -> 127.0.0.1:56729, sz=14 is delayed for 3.2ms
18:05:50.778717 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:56729, sz=14 is delivered
18:05:51.060317 [queue=0] packet #2, 127.0.0.1:56730 -> 127.0.0.1:8080, sz=32 is dropped
18:05:54.076489 [queue=1] packet #2, 127.0.0.1:56730 -> 127.0.0.1:8080, sz=32 is delayed for 2.2ms
18:05:54.092357 [queue=0] packet #2, 127.0.0.1:56730 -> 127.0.0.1:8080, sz=32 is delivered
